B,P,C,X,N,Time
5,1,1,0,1,15.123456
5,1,5,0,1,15.123456
5,5,1,0,1,15.123456
5,5,5,0,1,15.123456
10,1,1,0,1,15.123456
10,1,5,0,1,15.123456
10,1,10,0,1,15.123456
10,5,1,0,1,15.123456
10,5,5,0,1,15.123456
10,5,10,0,1,15.123456
10,10,1,0,1,15.123456
10,10,5,0,1,15.123456
10,10,10,0,1,15.123456
5,1,1,200,1,15.123456
5,1,5,200,1,15.123456
5,5,1,200,1,15.123456
5,5,5,200,1,15.123456
10,1,1,200,1,15.123456
10,1,5,200,1,15.123456
10,1,10,200,1,15.123456
10,5,1,200,1,15.123456
10,5,5,200,1,15.123456
10,5,10,200,1,15.123456
10,10,1,200,1,15.123456
10,10,5,200,1,15.123456
10,10,10,200,1,15.123456
5,1,1,400,1,15.123456
5,1,5,400,1,15.123456
5,5,1,400,1,15.123456
5,5,5,400,1,15.123456
10,1,1,400,1,15.123456
10,1,5,400,1,15.123456
10,1,10,400,1,15.123456
10,5,1,400,1,15.123456
10,5,5,400,1,15.123456
10,5,10,400,1,15.123456
10,10,1,400,1,15.123456
10,10,5,400,1,15.123456
10,10,10,400,1,15.123456
